,videoId,videoDuration,videoQuality,videoKind
0,jqG3F6N3B-c,13076.0,hd,youtube#video
1,Z5Cwcx8Apqw,57.0,hd,youtube#video
2,kmVz0rMxQec,59.0,hd,youtube#video
3,Z-kuN_dfJWw,213.0,hd,youtube#video
4,1VnFwT95bQU,145.0,hd,youtube#video
5,Fjb92NkEtek,10199.0,hd,youtube#video
6,nViewzX6NWU,42896.0,hd,youtube#video
7,EkQfE8bnufc,55.0,hd,youtube#video
8,T0V3BUZSUYY,189.0,hd,youtube#video
9,Pr4vMYx61qM,23779.0,hd,youtube#video
10,1Bfi0hKaM0k,6555.0,hd,youtube#video
11,JJj6vS5We8M,55.0,hd,youtube#video
12,fOK45KM6kes,33439.0,hd,youtube#video
13,2a7SpNmVhCE,38.0,hd,youtube#video
14,VKVZT-ERr8Q,42897.0,hd,youtube#video
15,NiHbHzHjgFE,238.0,hd,youtube#video
16,jRT7wH4GR3I,6325.0,hd,youtube#video
17,eGltLHfGszU,1070.0,hd,youtube#video
18,sXc66Sih3xk,284.0,hd,youtube#video
19,I24-aV7Z3Ik,239.0,hd,youtube#video
20,wYEhL_Nf8D0,63.0,hd,youtube#video
21,gtAe9xaadAI,39.0,hd,youtube#video
22,cbhlQT-bWUg,6655.0,hd,youtube#video
23,9xmop2FETFI,25.0,hd,youtube#video
24,gLqZci6fqNQ,164.0,hd,youtube#video
25,mo5QbKDAeR0,159.0,hd,youtube#video
26,Sr0rU7jQ93o,184.0,hd,youtube#video
27,FGwk1ZZqIw4,48.0,hd,youtube#video
28,MpQpPKSVuXQ,42901.0,hd,youtube#video
29,gFX5g7k2hcU,1866.0,hd,youtube#video
30,udanj91VuPU,38.0,hd,youtube#video
31,I0-wOwkZtT8,48.0,hd,youtube#video
32,F7UvBajw42g,305.0,hd,youtube#video
33,k4sZcecWSw4,9162.0,hd,youtube#video
34,ZIKRhUbhGrg,43.0,hd,youtube#video
35,bRGHkhBKcas,1697.0,hd,youtube#video
36,U9-bul2Gg8E,28.0,hd,youtube#video
37,63MU6hujr1M,304.0,hd,youtube#video
38,vbaVO57FBCc,31113.0,hd,youtube#video
39,R9zLbXlozbA,39.0,hd,youtube#video
40,A2fUMGd6Uhc,44.0,hd,youtube#video
41,8Vq4K1EGq2g,1191.0,hd,youtube#video
42,SOOS7tN0nHg,532.0,hd,youtube#video
43,HVJq13PtHok,43.0,hd,youtube#video
44,xB4F0TAeQKY,53.0,hd,youtube#video
45,qwPnTTlaOV4,162.0,hd,youtube#video
46,2-TwE2fl78w,27115.0,hd,youtube#video
47,_JksQ4GT5Do,78.0,hd,youtube#video
48,Ozpm95cg-GA,274.0,hd,youtube#video
49,siuRfGGRU6k,8905.0,hd,youtube#video
50,ZuQduKBBCKE,18846.0,hd,youtube#video
51,O8OXpUgOs_g,42896.0,hd,youtube#video
52,rCyKvAuOtpE,74.0,hd,youtube#video
53,NOyJxvAXM5g,46.0,hd,youtube#video
54,hC0rp6xFLmw,3830.0,hd,youtube#video
55,P0Bhylk_c6E,49.0,hd,youtube#video
56,0kwnmYpJYWc,38.0,hd,youtube#video
57,v0Vc42YVTbI,3188.0,hd,youtube#video
58,y0-g4M4Ybbw,59.0,hd,youtube#video
59,64F97iDNE2M,53.0,hd,youtube#video
60,lpkTFhjb2y0,2465.0,hd,youtube#video
61,tnXOv9kHAOg,14155.0,hd,youtube#video
62,SyG5kiXePYU,49.0,hd,youtube#video
63,Gd6d7ihklKU,9740.0,hd,youtube#video
64,HcEoJJtkUSA,89.0,hd,youtube#video
65,43SlBrvXZB4,1170.0,hd,youtube#video
66,17Hgzy-oa5A,66.0,hd,youtube#video
67,ZS1YJBJf6jc,485.0,hd,youtube#video
68,EVa6dd-c4fI,7023.0,hd,youtube#video
69,iwPVoFr1_GM,227.0,hd,youtube#video
70,u_VtRZedX98,54.0,hd,youtube#video
71,DFANLnTyomg,82.0,hd,youtube#video
72,WFOBYSlDjwo,93.0,hd,youtube#video
73,Yx8cxXWptu8,56.0,hd,youtube#video
74,w3Ks7yfx-bs,116.0,hd,youtube#video
75,cThsL8prNx4,414.0,hd,youtube#video
76,ObmU-irSO-s,58.0,hd,youtube#video
77,4T-4-5ZUY90,87.0,hd,youtube#video
78,kSRarmKmBrI,380.0,hd,youtube#video
79,zMtVamjtyyY,58.0,hd,youtube#video
80,xp0EhyraFB4,485.0,hd,youtube#video
81,aX6yTxIbQ0E,64.0,hd,youtube#video
82,Suqad1b6uGE,24.0,hd,youtube#video
83,oArzeItE3MQ,1746.0,hd,youtube#video
84,HCeSjrH9GCU,42.0,hd,youtube#video
85,L9BnFp_lyPo,47.0,hd,youtube#video
86,eEy2eCDiSCA,38306.0,hd,youtube#video
87,G2ULxnRljtU,30.0,hd,youtube#video
88,ZcxxaP9h94U,146.0,hd,youtube#video
89,PFUID39eUD0,196.0,hd,youtube#video
90,w5OROA44qFQ,258.0,hd,youtube#video
91,6kTHtf5j1js,56.0,hd,youtube#video
92,bA72iMEHTbE,42897.0,hd,youtube#video
