videoId,videoComments,videoLikes,videoViews
r-zazKuzzpM,0,90,4690
M-5SkWe2rrg,0,65,6163
8JfEqW_nELo,0,32,2386
IhGlIM4UnFM,0,83,5535
XV_KtKgoPpg,0,75,4290
CmJjy9vSeok,0,85,7716
d6D0JPiWX94,0,32,2504
jrMEdbkY06w,0,82,4499
WxdZ44Oo2fo,0,9,1736
AJ52M0vzQOY,0,16,2122
J4iMcFYgyV8,0,20,2196
Q6iNLhmmuV4,0,162,8228
NQlZ7hBWdxQ,0,35,3572
qreuVauEjqs,0,36,3267
-RkdlvR0C-s,0,35,4085
QU4XPVLI7Jo,0,121,16559
MZPqLXkhwYs,0,9,1167
HrCAbymOpBI,0,17,1874
y-0aapHPbxU,1,129,3057
-_9GyLweLVE,1,10,648
AsOKL0dr4Bo,1,58,2242
xXyUNwIIg7w,1,323,5194
NVbtzBkSBm4,1,13,747
InW5YR5eFP0,1,52,2737
8bPgi3w-oVs,1,22,2168
3LrMO3KPPfs,1,7,1404
yaFj1P2C790,1,66,4600
KlvEVilQSoA,1,40,3493
U7G8vrH2an0,1,57,2942
2RjFMDID9e8,1,81,3015
Wnnl1jTVyHU,1,20,3516
xCSDD1EzB4o,1,14,1780
4rf8I8wKN04,1,37,5047
soGPf_0vmBU,10,309,7279
vhkfX7nkMyw,106,752,26814
A07LWJCwZzk,107,10603,245623
f-NZTvvbs2c,12,198,7342
zrzJr6i4AO4,13,22,2830
CEVydUJ91Zs,13,22,2383
pTeOpYF-kwY,14,92,3080
RgQ20ZL-js0,1579,47361,1365068
h73TRPC8yT0,159,332,33389
q3KQPkxgs2w,16,1104,26564
Qchf3IRCO6Y,17,298,7950
uo6yiOfjNzs,18,1150,70217
HbNkPI_xI3s,19,241,21077
dP3f30NUg_M,2,142,5166
rpEuxTcUJdU,2,8,1576
zFNPlExRZUU,2,262,5265
xNKeRzubPU4,2,181,4106
qfvbqnXKSIQ,2,39,2735
5RYTlP9iiYg,2,305,5262
EYc8YCBzfck,2,169,4856
8Lr7lVSXkao,2,15,5665
4Yu0WATVgF8,2,36,3547
3PMHdBlx9jA,23,187,15165
HrZe_bo0U8k,230,1600,102605
ZfcCFXRU1Ao,24,143,14301
ptOHvzkUraM,24,216,15079
3ELsdSTl6cY,28,383,16949
wsXRUjbEB7M,3,30,4510
M_0AXvx6hq8,3,37,2770
09BHUs2F2HI,3,165,9543
T6mBCF5PPV0,3,101,2947
aodDNAtb1Qc,31,150,13062
1slREVzBzhc,3180,17092,408233
KR9K7fPTugM,32,2793,49888
R1rvw7aYiVM,32,224,25951
LPHt7SsOfSM,32,258,11217
1_4rEKAinWg,327,239,23956
zrPxKLDHFiE,3546,44376,1326394
V2Vi6H5j2es,36,460,28387
9xL2tN-0dkE,4,29,1451
VnwaaxjvXZ0,4,719,13965
dvIGQcBWNv4,4,29,5802
caFjEhV_-PU,4,17,3045
3h8Tzra9InY,4,567,8845
sgJvy8LFub8,4,202,5128
III6SyogOIY,4,67,5290
XoaHWLRjOC4,46,886,18554
2ndbn3D7XW0,5,1373,46540
9VitylDmSpg,5,1081,25772
wgKXSwtQTKU,5,37,2109
cWbrfIO3ZDU,5,20,3120
UYzbgJFc3o0,5128,71557,1689044
IcsNL2CG8b4,52,440,10718
JtcWpdPnt44,53,152,11655
PiCdiBtC8sA,59,968,40674
oztR5cELXTU,6,134,10356
W7pzJhS2XBw,6,89,4511
bpfXvsyzM3w,6,93,3808
4yQ4rupT5dw,7,358,9730
60Dw2v-k0aU,7,163,4337
KfCjiu68e7I,7,445,16288
u9cBoGVfgVU,74,598,40190
7GckgD6cBng,8,98,5641
qIUR1KDxIL4,8,97,7433
qbJuxeJXVNQ,8,56,19599
fs_KJM2eG7o,80,172,17052
Fj5MpTBNDcc,82,968,29906
MgbuZqRFfwY,86,500,17734
BbyxiaPi6Zg,9,297,11731
soFToCEtWEQ,9,34,2176
5hcEm51dYHc,1772,23469,396431
apxOPVWYSDg,4103,55766,1246379
3ViQ-MUI_P0,4283,79736,3011996
K381EkDpUKw,19948,296984,4666821
9WEZnDRJO9Q,2064,59176,1401158
PCccOv7mEgk,7248,61727,1165723
vNfXOzLYKc4,5705,34438,643709
5xmOWWo4w8M,1633,32273,645762
DqFSVYsk_ug,2448,28739,506436
HqBNRgRP3AY,1998,24209,368887
DvG1U_9qoo0,130,867,12384
CMyNUeoLorY,32,139,7185
n2kHJ1eIz1I,122,179,23592
qUOZeWW0S8I,270,322,36579
SHFaTIcE7SA,214,382,44491
OCz1hx-7X9U,210,1067,12278
CwUrQf92jog,41,85,3967
voKfC3mGCUQ,137,323,14752
3V2enpfgC3I,83,194,22796
CAWPjTnaZyI,199,505,35166
CuFd6StmwDc,1141,5290,313819
83I37k2JZc8,87,3127,84357
E5Vv9c1uti4,40,340,10839
TRBfCpA8R3Y,37,117,29796
OKiqm6_9vXE,42,160,5972
-TUMFlaZJVg,74,718,21350
GVg9f2LHSuI,36,938,50269
C0KW4MvNbIQ,53,587,8320
lVO9_BSfqAw,92,1026,21211
o95VaI5RLzE,52,986,33976
brWhYOzBfW8,37,526,45655
otVJhcf3NsU,31,591,35538
